subdivision,year,jan,feb,mar,apr,may,jun,ju;,aug,sep,oct,nov,dec,annual_rainfall_mm,state_name
Haryana Delhi & Chandigarh,2010,4.8,10.2,0.5,0.8,5.9,29.1,189.3,198.5,183.9,1.1,3.5,12.8,640.5,HARYANA
Haryana Delhi & Chandigarh,2011,0.7,26.7,6.9,8.9,28.7,94.4,85,127.3,133.1,0,0,0.4,512,HARYANA
Haryana Delhi & Chandigarh,2012,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5,391.4,HARYANA
Haryana Delhi & Chandigarh,2013,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1,461.2,HARYANA
Haryana Delhi & Chandigarh,2014,13,17.3,26.8,7.5,20.3,25.9,72.3,34.8,67.3,10.5,0.2,9.6,305.5,HARYANA
Haryana Delhi & Chandigarh,2015,12.4,6.6,71.8,34.8,8.4,43.7,130.3,89.2,32.1,3.7,2.3,0.2,435.3,HARYANA
Haryana Delhi & Chandigarh,2016,0,1.1,20.7,0.6,26.7,35.8,159.8,133,14.8,5.2,0,1,398.7,HARYANA
Haryana Delhi & Chandigarh,2017,34.2,0.3,7.2,4.3,10.3,121.2,69.2,76.5,92.5,0,1.8,4.2,421.6,HARYANA
Punjab,2010,3.8,13.8,1.9,0.7,6,41.8,143.8,96.7,112.8,4.7,1.1,24.4,451.5,PUNJAB
Punjab,2011,3.5,35.6,8.2,17.8,18.9,162.9,120.9,193.5,140.2,0,1,2.6,705.2,PUNJAB
Punjab,2012,62.6,3.2,1.9,31.1,1.6,11.9,120.2,135.1,112.3,2.2,0.4,11,493.6,PUNJAB
Punjab,2013,9.3,50.1,11.6,3.4,3.6,120.3,117.9,217.1,24.4,16.2,6.1,6.6,586.6,PUNJAB
Punjab,2014,21.8,20.1,30.3,24.5,20.8,20.6,76.3,41.9,105.8,6,0.7,14.1,382.7,PUNJAB
Punjab,2015,17.7,31.3,68.5,29.8,16.7,48.3,130.2,88.6,69.2,9,0.8,0.7,510.8,PUNJAB
Punjab,2016,6.5,6,34.6,0.8,24.8,52.6,153.1,144.8,17.4,1.9,0.5,1.1,444,PUNJAB
Punjab,2017,42.4,3,14.5,12.3,12.3,110.8,94.4,122.2,62.7,0,5.2,17.7,497.5,PUNJAB
Himachal Pradesh,2010,25.5,96.6,45.1,60.3,81.4,108.5,291.8,274.1,176.7,30.5,10.8,58.1,1259.4,HIMACHAL PRADESH
Himachal Pradesh,2011,43.9,97.4,49.7,62.4,45.1,118.3,177.7,380.2,120.3,6,0.3,6.9,1108.3,HIMACHAL PRADESH
Himachal Pradesh,2012,92.3,51.3,28.4,55.9,9.4,31.1,241.5,280.6,133.1,3.1,3.2,21.8,951.6,HIMACHAL PRADESH
Himachal Pradesh,2013,79.9,182.6,76.6,28.9,32.6,233.6,208.8,240,65.8,21.8,16.6,24.8,1211.9,HIMACHAL PRADESH
Himachal Pradesh,2014,69.6,124.9,125.2,60.6,68.9,51.7,203.6,146.7,84.6,19.3,4.5,49.3,1008.7,HIMACHAL PRADESH
Himachal Pradesh,2015,67.2,156.6,192.5,84.9,45,85.8,249.9,195.9,75.5,17.7,14.5,25,1210.5,HIMACHAL PRADESH
Himachal Pradesh,2016,18.7,38.4,114.4,47.5,70.2,101.3,194,272.7,56.8,5.3,0,2.2,921.5,HIMACHAL PRADESH
Himachal Pradesh,2017,157.6,46.3,57.4,88,62,123.1,216.1,273.1,103.4,0.3,6.9,48,1182.2,HIMACHAL PRADESH
West Rajasthan,2010,1.9,1.7,0.6,0.6,3,49.5,129.9,163.4,96.5,0.9,20.1,5.2,473.2,RAJASTHAN
West Rajasthan,2011,0,11.8,1.5,1.5,7.8,24.4,88.5,166.8,116.3,0.1,0,0,418.7,RAJASTHAN
West Rajasthan,2012,0.5,0,0,9.5,10.4,5.3,40.4,166.7,92,1.9,0,0.6,327.3,RAJASTHAN
West Rajasthan,2013,8.6,21.8,4.2,3.1,1.7,37.6,104.5,138.2,58.7,10.1,1,0,389.4,RAJASTHAN
West Rajasthan,2014,0.8,2.2,4.7,8.4,23,13.8,94.3,69.6,84.9,0.5,0.2,0,302.4,RAJASTHAN
West Rajasthan,2015,1.4,0.9,30.3,25.2,15.5,53.2,234.6,60.5,35.7,1.1,0.1,0,458.4,RAJASTHAN
West Rajasthan,2016,0.1,1.6,6.7,0.4,4,33.2,80,191.9,11,18.1,0,0,347,RAJASTHAN
West Rajasthan,2017,6,0.3,4.2,3.3,26.1,81.9,219.7,43.1,21.2,0,0.6,1.8,408.3,RAJASTHAN
